id,group_id
594,42
595,42
596,43
597,43
598,43
599,43
600,44
601,44
602,45
603,45
604,45
605,45
606,46
607,46
608,46
609,46
610,48
611,36
612,36
613,48
614,49
615,37
616,37
617,49
618,49
619,38
620,38
621,50
622,50
623,39
624,39
625,51
626,40
627,40
628,40
629,52
630,52
631,41
632,41
633,41
634,53
635,42
636,42
637,42
638,42
639,43
640,43
641,44
642,56
643,44
644,44
645,45
646,45
647,45
648,45
649,58
650,58
651,46
652,46
653,48
654,48
655,48
656,48
657,48
658,49
659,49
660,49
661,49
662,50
663,50
664,50
665,50
666,51
667,51
668,51
669,51
670,52
671,52
672,52
673,52
674,53
675,53
676,53
677,53
678,54
679,54
680,54
681,54
682,55
683,55
684,56
685,56
686,56
687,56
688,57
689,57
690,57
691,57
692,58
693,58
694,58
695,58
696,48
697,48
698,48
699,48
700,48
701,49
702,49
703,49
704,49
705,50
706,50
707,50
708,50
709,51
710,51
711,51
712,51
713,52
714,52
715,52
716,52
717,53
718,53
719,53
720,53
721,54
722,54
723,54
724,54
725,55
726,55
727,55
728,56
729,56
730,56
731,57
732,57
733,57
734,57
735,58
736,58
737,58
738,48
739,48
740,48
741,48
742,48
743,49
744,49
745,49
746,49
747,50
748,50
749,50
750,50
751,51
752,51
753,51
754,51
755,52
756,52
757,52
758,52
759,53
760,53
761,53
762,53
763,54
764,54
765,54
766,54
767,55
768,55
769,55
770,56
771,56
772,56
773,57
774,57
775,57
776,57
777,58
778,58
779,58
780,48
781,48
782,59
783,60
784,49
785,49
786,60
787,49
788,50
789,50
790,61
791,61
792,51
793,51
794,63
795,51
796,52
797,52
798,63
799,63
800,53
801,53
802,53
803,53
804,54
805,54
806,65
807,65
808,55
809,55
810,56
811,56
812,56
813,56
814,57
815,57
816,57
817,57
818,58
819,58
820,59
821,59
822,59
823,59
824,60
825,60
826,60
827,60
828,61
829,61
830,61
831,61
832,62
833,62
834,63
835,63
836,63
837,63
838,63
839,63
840,64
841,64
842,64
843,64
844,65
845,65
846,65
847,65
848,66
849,66
850,66
851,66
852,67
853,67
854,68
855,68
856,68
857,68
858,68
859,59
860,59
861,60
862,60
863,60
864,60
865,61
866,61
867,61
868,62
869,62
870,63
871,63
872,63
873,63
874,63
875,64
876,64
877,64
878,64
879,65
880,65
881,65
882,65
883,66
884,66
885,66
886,66
887,67
888,67
889,68
890,68
891,68
892,68
893,60
894,60
895,60
896,60
897,61
898,61
899,62
900,62
901,63
902,63
903,63
904,63
905,63
906,64
907,64
908,64
909,64
910,65
911,65
912,65
913,65
914,66
915,66
916,66
917,66
918,67
919,67
920,68
921,68
922,68
923,68
924,62
925,63
926,63
927,63
928,63
929,70
930,70
931,64
932,64
933,64
934,64
935,65
936,65
937,65
938,65
939,66
940,66
941,66
942,66
943,67
944,67
945,75
946,75
947,68
948,69
949,63
950,63
951,70
952,70
953,70
954,70
955,71
956,71
957,71
958,71
959,72
960,72
961,72
962,72
963,73
964,73
965,73
966,73
967,74
968,74
969,75
970,75
971,75
972,69
973,70
974,70
975,70
976,70
977,70
978,71
979,71
980,71
981,72
982,72
983,72
984,72
985,73
986,73
987,73
988,73
989,74
990,74
991,75
992,75
993,75
994,70
995,70
996,70
997,71
998,71
999,71
1000,72
1001,72
1002,72
1003,73
1004,73
1005,73
1006,73
1007,74
1008,74
1009,75
1010,75
1011,71
1012,71
1013,71
1014,72
1015,72
1016,73
1017,78
1018,74
1019,74
1020,76
1021,76
1022,76
1023,77
1024,72
1025,72
1026,76
1027,76
1028,76
1029,77
1030,77
1031,77
1032,77
1033,76
1034,76
1035,76
1036,77
1037,77
1038,77
1039,76
1040,76
1041,76
1042,77
1043,77
